strategy,observed_count,observed_fraction,repeat,rank,beta,sigma_min,sigma_min_nonzero,condition_number,noise_amplification,noiseless_relative_error,noisy_ls_relative_error,noisy_ridge_relative_error
chord_first,17,0.68,2,10,10,0.41426857101402753,0.41426857101402753,2.4138929910908917,2.413892991090891,6.963939742963469e-15,0.07905181383788536,0.07634593921697601
rank_greedy,17,0.68,2,10,10,0.628593499546731,0.628593499546731,1.590853231414395,1.5908532314143948,5.1613431382503765e-15,0.09404832935518977,0.09645448634409241
random,17,0.68,2,9,10,8.834392351867706e-17,0.5803734894719633,inf,inf,0.2263840699077671,0.23412204885000118,0.23285039923772557
tree_first,17,0.68,3,10,10,0.3510993209176385,0.3510993209176385,2.8481969073206552,2.8481969073206543,6.781454533067089e-15,0.08040599672736576,0.07904315807508691
chord_first,17,0.68,3,10,10,0.41426857101402753,0.41426857101402753,2.4138929910908917,2.413892991090891,6.963939742963469e-15,0.05036936357450071,0.039467772229965795
rank_greedy,17,0.68,3,10,10,0.628593499546731,0.628593499546731,1.590853231414395,1.5908532314143948,5.1613431382503765e-15,0.06260113701150202,0.04955344151232363
random,17,0.68,3,10,10,0.4388840190711636,0.4388840190711636,2.2785062944792562,2.278506294479256,6.178967164302831e-15,0.07033827869410127,0.06219952914166606
tree_first,17,0.68,4,10,10,0.3510993209176385,0.3510993209176385,2.8481969073206552,2.8481969073206543,6.781454533067089e-15,0.092035531807881,0.09376339869596362
chord_first,17,0.68,4,10,10,0.41426857101402753,0.41426857101402753,2.4138929910908917,2.413892991090891,6.963939742963469e-15,0.06950535747518971,0.05685931587072304
rank_greedy,17,0.68,4,10,10,0.628593499546731,0.628593499546731,1.590853231414395,1.5908532314143948,5.1613431382503765e-15,0.06432159644912731,0.05972961783788684
random,17,0.68,4,10,10,0.3677867244754742,0.3677867244754742,2.7189670900334115,2.7189670900334106,6.276934317825567e-15,0.06110371818031795,0.0760458802297061
tree_first,17,0.68,5,10,10,0.3510993209176385,0.3510993209176385,2.8481969073206552,2.8481969073206543,6.781454533067089e-15,0.09387803099436973,0.08391259477309952
chord_first,17,0.68,5,10,10,0.41426857101402753,0.41426857101402753,2.4138929910908917,2.413892991090891,6.963939742963469e-15,0.052190435657744234,0.05561416155506446
rank_greedy,17,0.68,5,10,10,0.628593499546731,0.628593499546731,1.590853231414395,1.5908532314143948,5.1613431382503765e-15,0.07641093181386047,0.07732603582974804
random,17,0.68,5,10,10,0.38461178561629095,0.38461178561629095,2.600024329461535,2.6000243294615335,6.989557163462102e-15,0.0986027115648772,0.11042523967899713
tree_first,17,0.68,6,10,10,0.3510993209176385,0.3510993209176385,2.8481969073206552,2.8481969073206543,6.781454533067089e-15,0.05729991654218021,0.059614273848653455
chord_first,17,0.68,6,10,10,0.41426857101402753,0.41426857101402753,2.4138929910908917,2.413892991090891,6.963939742963469e-15,0.07673139753227017,0.0855698901436864
rank_greedy,17,0.68,6,10,10,0.628593499546731,0.628593499546731,1.590853231414395,1.5908532314143948,5.1613431382503765e-15,0.09117882193083207,0.0945601663924335
random,17,0.68,6,10,10,0.48969118537360784,0.48969118537360784,2.0421033293402124,2.042103329340213,6.706978494453653e-15,0.08593878508089249,0.08902524105617338
tree_first,17,0.68,7,10,10,0.3510993209176385,0.3510993209176385,2.8481969073206552,2.8481969073206543,6.781454533067089e-15,0.08665321527412251,0.0835811413487175
chord_first,17,0.68,7,10,10,0.41426857101402753,0.41426857101402753,2.4138929910908917,2.413892991090891,6.963939742963469e-15,0.08475503247415256,0.07823405184349175
rank_greedy,17,0.68,7,10,10,0.628593499546731,0.628593499546731,1.590853231414395,1.5908532314143948,5.1613431382503765e-15,0.06267937200010236,0.06428940359100566
random,17,0.68,7,10,10,0.39993332536290227,0.39993332536290227,2.5004167859544926,2.5004167859544917,8.736615795372653e-15,0.09432703312192044,0.09648978904639643
tree_first,18,0.72,0,10,10,0.49000699035184986,0.49000699035184986,2.0407872126108844,2.040787212610884,5.6903668571537386e-15,0.08710620127607038,0.09181347692574011
chord_first,18,0.72,0,10,10,0.4234520023374473,0.4234520023374473,2.361542735611164,2.361542735611163,7.172118076178739e-15,0.05510115538173185,0.06223885547009814
rank_greedy,18,0.72,0,10,10,0.6537980821371033,0.6537980821371033,1.5295242175248498,1.5295242175248491,5.086166632446223e-15,0.10311269761185672,0.1069248954518183
random,18,0.72,0,10,10,0.4070761518044086,0.4070761518044086,2.456542825138227,2.4565428251382277,6.441207436029955e-15,0.06509129582170199,0.07032219419511399
tree_first,18,0.72,1,10,10,0.49000699035184986,0.49000699035184986,2.0407872126108844,2.040787212610884,5.6903668571537386e-15,0.09690362914505929,0.09110401903502074
chord_first,18,0.72,1,10,10,0.4234520023374473,0.4234520023374473,2.361542735611164,2.361542735611163,7.172118076178739e-15,0.09152646726159865,0.07523063007523481
rank_greedy,18,0.72,1,10,10,0.6537980821371033,0.6537980821371033,1.5295242175248498,1.5295242175248491,5.086166632446223e-15,0.038477730256811664,0.042338703184748465
random,18,0.72,1,9,10,3.05735576749233e-17,0.5352326622039562,inf,inf,0.04640509007612836,0.08760768452539376,0.08351734049752206
tree_first,18,0.72,2,10,10,0.49000699035184986,0.49000699035184986,2.0407872126108844,2.040787212610884,5.6903668571537386e-15,0.04487015710411339,0.06312700543185193
chord_first,18,0.72,2,10,10,0.4234520023374473,0.4234520023374473,2.361542735611164,2.361542735611163,7.172118076178739e-15,0.09472446946776053,0.09945952362548627
rank_greedy,18,0.72,2,10,10,0.6537980821371033,0.6537980821371033,1.5295242175248498,1.5295242175248491,5.086166632446223e-15,0.08089782004159889,0.08340251552393128
random,18,0.72,2,10,10,0.45447535813271617,0.45447535813271617,2.2003393189647475,2.2003393189647467,6.202610464077155e-15,0.1297037939379484,0.11159705806795561
tree_first,18,0.72,3,10,10,0.49000699035184986,0.49000699035184986,2.0407872126108844,2.040787212610884,5.6903668571537386e-15,0.0761419887958152,0.07568226857951399
chord_first,18,0.72,3,10,10,0.4234520023374473,0.4234520023374473,2.361542735611164,2.361542735611163,7.172118076178739e-15,0.120451638157895,0.12341590198390104
rank_greedy,18,0.72,3,10,10,0.6537980821371033,0.6537980821371033,1.5295242175248498,1.5295242175248491,5.086166632446223e-15,0.06354357173015375,0.0636591045413727
random,18,0.72,3,10,10,0.36511820668612743,0.36511820668612743,2.738839043596767,2.738839043596767,6.1881863474074764e-15,0.08708678358372708,0.09654141303886289
tree_first,18,0.72,4,10,10,0.49000699035184986,0.49000699035184986,2.0407872126108844,2.040787212610884,5.6903668571537386e-15,0.09587685196927996,0.08458741256905628
chord_first,18,0.72,4,10,10,0.4234520023374473,0.4234520023374473,2.361542735611164,2.361542735611163,7.172118076178739e-15,0.09858199686864172,0.1072726487562983
rank_greedy,18,0.72,4,10,10,0.6537980821371033,0.6537980821371033,1.5295242175248498,1.5295242175248491,5.086166632446223e-15,0.07705111765171521,0.06887314450322712
random,18,0.72,4,10,10,0.48399293765346335,0.48399293765346335,2.0661458509049484,2.066145850904947,5.585150143304223e-15,0.048085345421812475,0.04998836931197637
tree_first,18,0.72,5,10,10,0.49000699035184986,0.49000699035184986,2.0407872126108844,2.040787212610884,5.6903668571537386e-15,0.0616168606242504,0.0789240810476683
chord_first,18,0.72,5,10,10,0.4234520023374473,0.4234520023374473,2.361542735611164,2.361542735611163,7.172118076178739e-15,0.10027298125099648,0.10988016546457005
